0.2,1.0,-30,0.0,0.0.1,0.0.2,0.0.3
0.2,1.0,-30,0.0416666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.0833333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.125,0.0,0.0,0.0
0.2,1.0,-30,0.1666666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.2083333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.25,0.0,0.0,0.0
0.2,1.0,-30,0.2916666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.3333333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.375,0.0,0.0,0.0
0.2,1.0,-30,0.4166666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.4583333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.5,0.0,0.0,0.0
0.2,1.0,-30,0.5416666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.5833333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.625,0.0,0.0,0.0
0.2,1.0,-30,0.6666666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.7083333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.75,0.0,0.0,0.0
0.2,1.0,-30,0.7916666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.8333333333333333,0.0,0.0,0.0
0.2,1.0,-30,0.875,0.0,0.0,0.0
0.2,1.0,-30,0.9166666666666666,0.0,0.0,0.0
0.2,1.0,-30,0.9583333333333331,0.0,0.0,0.0
0.2,1.0,-25,0.0,0.0,0.0,0.0
0.2,1.0,-25,0.0416666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.0833333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.125,0.0,0.0,0.0
0.2,1.0,-25,0.1666666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.2083333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.25,0.0,0.0,0.0
0.2,1.0,-25,0.2916666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.3333333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.375,0.0,0.0,0.0
0.2,1.0,-25,0.4166666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.4583333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.5,0.0,0.0,0.0
0.2,1.0,-25,0.5416666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.5833333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.625,0.0,0.0,0.0
0.2,1.0,-25,0.6666666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.7083333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.75,0.0,0.0,0.0
0.2,1.0,-25,0.7916666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.8333333333333333,0.0,0.0,0.0
0.2,1.0,-25,0.875,0.0,0.0,0.0
0.2,1.0,-25,0.9166666666666666,0.0,0.0,0.0
0.2,1.0,-25,0.9583333333333331,0.0,0.0,0.0
0.2,1.0,-20,0.0,0.0,0.0,0.0
0.2,1.0,-20,0.0416666666666666,0.0,0.0,0.0
0.2,1.0,-20,0.0833333333333333,0.0,0.0,0.0
0.2,1.0,-20,0.125,0.0,0.0,0.0
0.2,1.0,-20,0.1666666666666666,0.0,0.0,0.0
0.2,1.0,-20,0.2083333333333333,0.0,0.0,0.0
0.2,1.0,-20,0.25,0.0,0.0,0.0
